algo,dv,dc,nv,nc,code_id,p_phys,p_mask,no_test,no_success,no_stop,p_log,p_error,p_std_dev
100,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9499,8542,957.0,0.8992525529003053,0.10074744709969474,0.0030882960141537428
200,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9495,7806,1689.0,0.8221169036334913,0.17788309636650868,0.003924520885467549
300,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9495,7011,2484.0,0.738388625592417,0.261611374407583,0.004510485860182773
400,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9494,6325,3168.0,0.6662102380450811,0.33378976195491894,0.0048396899896820805
500,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9489,5696,3791.0,0.6002740014753926,0.39972599852460744,0.005028584376471198
600,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9486,5007,4479.0,0.5278304870335231,0.4721695129664769,0.0051257172609830955
700,5,6,24,20,swap3_2b8e7a53,0.001,0.0,9482,4659,4823.0,0.4913520354355621,0.508647964564438,0.005133990488159617
1000,5,6,24,20,swap3_2b8e7a53,0.001,0.0,3176,1179,1997.0,0.3712216624685138,0.6287783375314862,0.008572849396959152
1500,5,6,24,20,swap3_2b8e7a53,0.001,0.0,3174,730,2444.0,0.2299936988027725,0.7700063011972275,0.007469673982138068
2000,5,6,24,20,swap3_2b8e7a53,0.001,0.0,3171,426,2745.0,0.1343424787133396,0.8656575212866604,0.0060559406584307285
10,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10279,10135,144.0,0.9859908551415508,0.014009144858449174,0.001159222557288717
20,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10279,10042,237.0,0.9769432824204688,0.023056717579531205,0.0014803280976786264
30,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9892,386.0,0.96244405526367,0.03755594473632995,0.0018753087765805685
40,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9764,514.0,0.9499902704806382,0.05000972951936178,0.0021499706182971355
50,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9697,581.0,0.94347149250827,0.056528507491729996,0.0022779481993407753
60,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9542,736.0,0.9283907374975676,0.07160926250243238,0.002543288884973828
70,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9503,774.0,0.9245962249464876,0.07540377505351237,0.002604463622507398
80,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9329,949.0,0.907666861257054,0.09233313874294602,0.002855536611504078
90,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9242,1035.0,0.899202179412337,0.10079782058766296,0.0029696135745743407
100,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9124,1154.0,0.8877213465654796,0.11227865343452037,0.00311410048877656
110,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,9015,1262.0,0.8771161704611792,0.12288382953882082,0.0032383338595189403
120,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10278,8875,1402.0,0.8634948433547383,0.13650515664526175,0.0033864923302773433
130,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10276,8831,1444.0,0.8593810821331257,0.1406189178668743,0.0034292782306238594
140,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10275,8687,1587.0,0.8454501216545012,0.15454987834549883,0.003566049883439874
150,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10275,8516,1759.0,0.8288077858880779,0.1711922141119221,0.0037160196367312503
160,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10275,8480,1791.0,0.8253041362530413,0.17469586374695867,0.003745910586923111
170,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10275,8409,1864.0,0.8183941605839417,0.18160583941605835,0.003803253294355569
180,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10272,8334,1938.0,0.8113317757009346,0.18866822429906538,0.0038603005467734864
190,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10272,8200,2072.0,0.7982866043613707,0.20171339563862933,0.003959307983695015
200,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10272,8046,2225.0,0.7832943925233645,0.21670560747663548,0.0040650891840716815
210,5,6,24,20,swap3_2b8e7a53,0.001,0.1,11873,9224,2648.0,0.7768887391560684,0.22311126084393162,0.0038208494388654547
220,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10270,7843,2425.0,0.7636806231742941,0.23631937682570592,0.004191990890999825
230,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10269,7715,2553.0,0.7512902911675918,0.24870970883240817,0.004265659453823804
240,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10268,7757,2510.0,0.7554538371640047,0.24454616283599528,0.0042417147761406055
250,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10267,7621,2642.0,0.7422810947696503,0.2577189052303497,0.004316537892608011
260,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10267,7518,2746.0,0.7322489529560728,0.26775104704392716,0.0043699169929480855
270,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10267,7529,2738.0,0.7333203467419889,0.26667965325801113,0.004364354580292768
280,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10267,7369,2895.0,0.7177364371286646,0.28226356287133536,0.004442097900028184
290,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10266,7254,3010.0,0.706604324956166,0.293395675043834,0.004493806514635517
300,5,6,24,20,swap3_2b8e7a53,0.001,0.1,10265,7159,3106.0,0.6974184120798831,0.3025815879201169,0.004534072668222962
310,5,6,24,20,swap3_2b8e7a53,0.001,0.1,1602,1098,504.0,0.6853932584269663,0.3146067415730337,0.011601727768833288
410,5,6,24,20,swap3_2b8e7a53,0.001,0.1,1601,1028,573.0,0.6420986883198001,0.3579013116801999,0.011980829022696041
510,5,6,24,20,swap3_2b8e7a53,0.001,0.1,1600,853,747.0,0.533125,0.46687500000000004,0.012472538193342002
610,5,6,24,20,swap3_2b8e7a53,0.001,0.1,1598,760,838.0,0.4755944931163955,0.5244055068836044,0.012492910911789487
1000,5,6,24,20,swap3_2b8e7a53,0.001,0.1,3169,988,2181.0,0.3117702745345534,0.6882297254654466,0.008228543062874719
1500,5,6,24,20,swap3_2b8e7a53,0.001,0.1,3165,548,2617.0,0.1731437598736177,0.8268562401263824,0.006725608279318591
2000,5,6,24,20,swap3_2b8e7a53,0.001,0.1,3160,316,2844.0,0.1,0.9,0.0053367605022361505
100,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2198,1861,337.0,0.8466787989080983,0.15332120109190173,0.007685048362191732
200,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2378,1810,567.0,0.7611438183347351,0.2388561816652649,0.008743708687320722
300,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2378,1588,789.0,0.6677880571909167,0.3322119428090833,0.009658752090872955
400,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2377,1352,1025.0,0.5687841817416912,0.4312158182583088,0.010157960177167857
500,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2376,1208,1168.0,0.5084175084175084,0.49158249158249157,0.010256170548662383
600,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2375,1043,1331.0,0.4391578947368421,0.5608421052631579,0.010183541690335375
700,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2371,906,1464.0,0.3821172501054407,0.6178827498945594,0.009978966857091
800,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2370,797,1571.0,0.3362869198312236,0.6637130801687764,0.009704451703288364
900,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2368,683,1685.0,0.288429054054054,0.711570945945946,0.009309744396210764
1000,5,6,24,20,swap3_2b8e7a53,0.001,0.15,2364,586,1776.0,0.2478849407783418,0.7521150592216582,0.008880623904205383
10,5,6,24,20,swap3_2b8e7a53,0.001,0.2,8501,8357,144.0,0.983060816374544,0.01693918362545599,0.0013995919080028556
